MiniCPU - Grupo 3 - Fatorial de 5

Ciclo 102: MOV R3, 0       | R0= 40 R1=  1 R2= 20 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo 103: CMP R1, R3      | R0= 40 R1=  1 R2= 20 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo 104: JNZ 0x58        | R0= 40 R1=  1 R2= 20 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo 105: LOAD R2, 0x21   | R0= 40 R1=  1 R2= 20 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo 106: ADD R0, R2      | R0= 60 R1=  1 R2= 20 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo 107: MOV R3, 1       | R0= 60 R1=  1 R2= 20 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo 108: SUB R1, R3      | R0= 60 R1=  0 R2= 20 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo 109: MOV R3, 0       | R0= 60 R1=  0 R2= 20 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo 110: CMP R1, R3      | R0= 60 R1=  0 R2= 20 R3=  0 | PC=106 ZF=1 | MEM[0x20]=  0
Ciclo 111: JNZ 0x58        | R0= 60 R1=  0 R2= 20 R3=  0 | PC=109 ZF=1 | MEM[0x20]=  0
Ciclo 112: LOAD R1, 0x22   | R0= 60 R1=  3 R2= 20 R3=  0 | PC=112 ZF=1 | MEM[0x20]=  0
Ciclo 113: MOV R3, 1       | R0= 60 R1=  3 R2= 20 R3=  1 | PC=115 ZF=1 | MEM[0x20]=  0
Ciclo 114: SUB R1, R3      | R0= 60 R1=  2 R2= 20 R3=  1 | PC=118 ZF=1 | MEM[0x20]=  0
Ciclo 115: MOV R3, 0       | R0= 60 R1=  2 R2= 20 R3=  0 | PC=121 ZF=1 | MEM[0x20]=  0
Ciclo 116: CMP R1, R3      | R0= 60 R1=  2 R2= 20 R3=  0 | PC=124 ZF=0 | MEM[0x20]=  0
Ciclo 117: JNZ 0x4F        | R0= 60 R1=  2 R2= 20 R3=  0 | PC= 79 ZF=0 | MEM[0x20]=  0
Ciclo 118: STORE R0, 0x21  | R0= 60 R1=  2 R2= 20 R3=  0 | PC= 82 ZF=0 | MEM[0x20]=  0
Ciclo 119: MOV R0, 0       | R0=  0 R1=  2 R2= 20 R3=  0 | PC= 85 ZF=0 | MEM[0x20]=  0
Ciclo 120: STORE R1, 0x22  | R0=  0 R1=  2 R2= 20 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo 121: LOAD R2, 0x21   | R0=  0 R1=  2 R2= 60 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo 122: ADD R0, R2      | R0= 60 R1=  2 R2= 60 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo 123: MOV R3, 1       | R0= 60 R1=  2 R2= 60 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo 124: SUB R1, R3      | R0= 60 R1=  1 R2= 60 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo 125: MOV R3, 0       | R0= 60 R1=  1 R2= 60 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo 126: CMP R1, R3      | R0= 60 R1=  1 R2= 60 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo 127: JNZ 0x58        | R0= 60 R1=  1 R2= 60 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo 128: LOAD R2, 0x21   | R0= 60 R1=  1 R2= 60 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo 129: ADD R0, R2      | R0=120 R1=  1 R2= 60 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo 130: MOV R3, 1       | R0=120 R1=  1 R2= 60 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo 131: SUB R1, R3      | R0=120 R1=  0 R2= 60 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo 132: MOV R3, 0       | R0=120 R1=  0 R2= 60 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo 133: CMP R1, R3      | R0=120 R1=  0 R2= 60 R3=  0 | PC=106 ZF=1 | MEM[0x20]=  0
Ciclo 134: JNZ 0x58        | R0=120 R1=  0 R2= 60 R3=  0 | PC=109 ZF=1 | MEM[0x20]=  0
Ciclo 135: LOAD R1, 0x22   | R0=120 R1=  2 R2= 60 R3=  0 | PC=112 ZF=1 | MEM[0x20]=  0
Ciclo 136: MOV R3, 1       | R0=120 R1=  2 R2= 60 R3=  1 | PC=115 ZF=1 | MEM[0x20]=  0
Ciclo 137: SUB R1, R3      | R0=120 R1=  1 R2= 60 R3=  1 | PC=118 ZF=1 | MEM[0x20]=  0
Ciclo 138: MOV R3, 0       | R0=120 R1=  1 R2= 60 R3=  0 | PC=121 ZF=1 | MEM[0x20]=  0
Ciclo 139: CMP R1, R3      | R0=120 R1=  1 R2= 60 R3=  0 | PC=124 ZF=0 | MEM[0x20]=  0
Ciclo 140: JNZ 0x4F        | R0=120 R1=  1 R2= 60 R3=  0 | PC= 79 ZF=0 | MEM[0x20]=  0
Ciclo 141: STORE R0, 0x21  | R0=120 R1=  1 R2= 60 R3=  0 | PC= 82 ZF=0 | MEM[0x20]=  0
Ciclo 142: MOV R0, 0       | R0=  0 R1=  1 R2= 60 R3=  0 | PC= 85 ZF=0 | MEM[0x20]=  0
Ciclo 143: STORE R1, 0x22  | R0=  0 R1=  1 R2= 60 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo 144: LOAD R2, 0x21   | R0=  0 R1=  1 R2=120 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo 145: ADD R0, R2      | R0=120 R1=  1 R2=120 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo 146: MOV R3, 1       | R0=120 R1=  1 R2=120 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo 147: SUB R1, R3      | R0=120 R1=  0 R2=120 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo 148: MOV R3, 0       | R0=120 R1=  0 R2=120 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo 149: CMP R1, R3      | R0=120 R1=  0 R2=120 R3=  0 | PC=106 ZF=1 | MEM[0x20]=  0
Ciclo 150: JNZ 0x58        | R0=120 R1=  0 R2=120 R3=  0 | PC=109 ZF=1 | MEM[0x20]=  0
Ciclo 151: LOAD R1, 0x22   | R0=120 R1=  1 R2=120 R3=  0 | PC=112 ZF=1 | MEM[0x20]=  0
Ciclo 152: MOV R3, 1       | R0=120 R1=  1 R2=120 R3=  1 | PC=115 ZF=1 | MEM[0x20]=  0
Ciclo 153: SUB R1, R3      | R0=120 R1=  0 R2=120 R3=  1 | PC=118 ZF=1 | MEM[0x20]=  0
Ciclo 154: MOV R3, 0       | R0=120 R1=  0 R2=120 R3=  0 | PC=121 ZF=1 | MEM[0x20]=  0
Ciclo 155: CMP R1, R3      | R0=120 R1=  0 R2=120 R3=  0 | PC=124 ZF=1 | MEM[0x20]=  0
Ciclo 156: JNZ 0x4F        | R0=120 R1=  0 R2=120 R3=  0 | PC=127 ZF=1 | MEM[0x20]=  0
Ciclo 157: STORE R0, 0x20  | R0=120 R1=  0 R2=120 R3=  0 | PC=130 ZF=1 | MEM[0x20]=120
Ciclo 158: HALT            | R0=120 R1=  0 R2=120 R3=  0 | PC=133 ZF=1 | MEM[0x20]=120

Resultado: 5! = 120 (MEM[0x20])
